"","study_id","study_name","study_type","authors","publication_year","url","survey_id","country_name","site_name","latitude","longitude","spatial_notes","collection_start","collection_end","collection_day","time_notes","numerator","denominator","prevalence","prevalence_lower","prevalence_upper","year","mutation"
"14","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kisumu_2004","Kenya","Kisumu",-0.0985099971294403,34.767261505127,"lat/lon reported in WWARN","2004-01-01","2004-12-31","2004-07-01","Automated midpoint",0,50,0,0,7.11217364641976,"2004","k13:561:H"
"15","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kisumu_2007","Kenya","Kisumu",-0.0985099971294403,34.767261505127,"lat/lon reported in WWARN","2007-01-01","2007-12-31","2007-07-02","Automated midpoint",0,108,0,0,3.35795502186544,"2007","k13:561:H"
"16","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kayes_2010","Mali","Kayes",13.0364799499512,-9.47502994537354,"lat/lon reported in WWARN","2010-01-01","2010-12-31","2010-07-02","Automated midpoint",109,117,93.1623931623932,86.9713728230846,97.0019771696427,NA,"k13:561:R"
"17","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Segou_2010","Mali","Segou",13.3332996368408,-4.83333015441895,"lat/lon reported in WWARN","2010-01-01","2010-12-31","2010-07-02","Automated midpoint",112,260,43.0769230769231,36.9751642020144,49.3383331623395,NA,"k13:561:R"
"18","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_UpperRiver_2012","Gambia","Upper River",13.3100004196167,-14.2137002944946,"lat/lon reported in WWARN","2012-01-01","2012-12-31","2012-07-01","Automated midpoint",48,50,96,86.2862374396033,99.5118566573836,NA,"k13:561:R"
"19","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_UpperEast_2012","Ghana","Upper East",10.8927602767944,-1.0905499458313,"lat/lon reported in WWARN","2012-01-01","2012-12-31","2012-07-01","Automated midpoint",74,76,97.3684210526316,90.8150476676834,99.6796994655268,NA,"k13:561:R"
"20","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_PlateauCentral_2011","Burkina Faso","Plateau Central",12.6330299377441,-1.06972002983093,"lat/lon reported in WWARN","2011-01-01","2011-12-31","2011-07-02","Automated midpoint",252,273,92.3076923076923,88.4817239853871,95.1754674374225,NA,"k13:561:R"
"21","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Eastern_2012","Uganda","Eastern",0.694260001182556,34.1812591552734,"lat/lon reported in WWARN","2012-01-01","2012-12-31","2012-07-01","Automated midpoint",96,100,96,90.074284328734,98.8995506013812,NA,"k13:561:R"
"22","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kinshasa_2006","Congo - Kinshasa","Kinshasa",-4.33811037182267,15.2944087982178,"lat/lon reported in WWARN","2006-01-01","2006-12-31","2006-07-02","Automated midpoint",34,35,97.1428571428571,85.0827920343568,99.9276895623662,NA,"k13:561:R"
"23","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kinshasa_2007","Congo - Kinshasa","Kinshasa",-4.33811037182267,15.2944087982178,"lat/lon reported in WWARN","2007-01-01","2007-12-31","2007-07-02","Automated midpoint",49,50,98,89.35304542885,99.9493772016959,NA,"k13:561:R"
"24","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_SouthernRegion_2010","Malawi","Southern Region",-14.9652500152588,35.6816291809082,"lat/lon reported in WWARN","2010-01-01","2010-12-31","2010-07-02","Automated midpoint",98,100,98,92.961606752893,99.7568663176057,NA,"k13:561:R"
"25","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Siaya_2012","Kenya","Siaya",0.0658999979496002,34.2876586914062,"lat/lon reported in WWARN","2012-01-01","2012-12-31","2012-07-01","Automated midpoint",52,53,98.1132075471698,89.9298473230854,99.9522419587578,NA,"k13:561:R"
"26","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Pwani_2006","Tanzania","Pwani",-6.40000009536743,38.6666984558105,"lat/lon reported in WWARN","2006-01-01","2006-12-31","2006-07-02","Automated midpoint",49,50,98,89.35304542885,99.9493772016959,NA,"k13:561:R"
"27","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_KongoCentral_2007","Congo - Kinshasa","Kongo Central",-5.49045643091722,13.2808208465576,"lat/lon reported in WWARN","2007-01-01","2007-12-31","2007-07-02","Automated midpoint",13,14,92.8571428571429,66.1315510068179,99.8193219340875,NA,"k13:561:R"
"28","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kwilu_2007","Congo - Kinshasa","Kwilu",-3.31068992614746,17.3814392089844,"lat/lon reported in WWARN","2007-01-01","2007-12-31","2007-07-02","Automated midpoint",48,50,96,86.2862374396033,99.5118566573836,NA,"k13:561:R"
"29","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kisumu_2004","Kenya","Kisumu",-0.0985099971294403,34.767261505127,"lat/lon reported in WWARN","2004-01-01","2004-12-31","2004-07-01","Automated midpoint",48,50,96,86.2862374396033,99.5118566573836,NA,"k13:561:R"
"30","wwarn_wwarn_79585_Absence","wwarn_79585_Absence","peer_reviewed","Absence",1000,"https://pubmed.ncbi.nlm.nih.gov/25180240","wwarn_wwarn_79585_Absence_WWARN_Kisumu_2007","Kenya","Kisumu",-0.0985099971294403,34.767261505127,"lat/lon reported in WWARN","2007-01-01","2007-12-31","2007-07-02","Automated midpoint",103,108,95.3703703703704,89.5261905451679,98.4799076694551,NA,"k13:561:R"
